,calm_id,street,intersecti,intersec_1,spd_hump,traf_islan,spd_cush,Installed,geometry,NeighbourhoodPortion,Neighbourhood
817,2102.0,Wallace Ave,Lansdowne Ave,Dufferin St,7.0,,,2022,"LINESTRING (-79.4444198617743 43.662367682044355, -79.4370626462673 43.66386808171634)",0.999931048854966,171
843,2131.0,Brandon Ave,Lightbourn Ave,Lansdowne Ave,,,5.0,2022,"MULTILINESTRING ((-79.44496352106174 43.66930663819085, -79.4455457826602 43.6691799698992, -79.44610440191941 43.66905935445716, -79.44727499524818 43.668813529465375), (-79.44267801147357 43.66981663696195, -79.44496351982009 43.669306639990545))",1.0,171
5,7.0,Barton Avenue,Christie Street,Bathurst Street,6.0,0.0,0.0,1998,"MULTILINESTRING ((-79.41960401523492 43.66658816736847, -79.42021337646081 43.66644875260628), (-79.4123639167301 43.66812852691935, -79.41298097217211 43.6679958395502, -79.41357110569972 43.667868952008504, -79.41412053402442 43.66775082491701, -79.41415316574242 43.66774381325038, -79.41417937344517 43.667738180118555, -79.41476345172337 43.667612607035544, -79.41534961196855 43.667486537586136, -79.41597238024806 43.66735259862595, -79.41654848859218 43.667229841269716, -79.41657619151533 43.66722393116393, -79.41717920180275 43.66709543849845, -79.41777874295994 43.66696292389093, -79.41781267654856 43.666955424971015, -79.41838838684733 43.66682816883769, -79.4190011270687 43.66670719337972))",0.08121585897613193,172
26,28.0,Havelock Street,Bloor Street West,College Street,11.0,0.0,0.0,1999,"LINESTRING (-79.42943003550616 43.652978859284715, -79.42991402350494 43.65423332296584, -79.43033989876696 43.65530949118263, -79.43044724962479 43.65556307623698, -79.4310059277243 43.6569840711508, -79.4313307802085 43.65775139921389, -79.4315507468942 43.658356710665615, -79.43172950344372 43.658801014616614, -79.43241445352388 43.66050342418215)",0.00124997812945558,172
48,50.0,Shaw Street,Bloor Street West,Dundas Street West,19.0,0.0,0.0,1999,"LINESTRING (-79.41848881328738 43.65039159467851, -79.41892029562602 43.651465542382454, -79.41895876259767 43.651599324217365, -79.41966071189417 43.65340388178744, -79.41969225448081 43.65348495738454, -79.41984702230049 43.65388304632107, -79.42008140864684 43.654485905181545, -79.42025248118514 43.65492592522489, -79.42041101185012 43.65532597414372, -79.42069548546186 43.656043838029824, -79.42093371577428 43.65664496525534, -79.42149306654346 43.658099303138954, -79.42186306512335 43.65905156536791, -79.42224380731399 43.66002354914496, -79.42258147742034 43.66088553907906, -79.42306244415683 43.662068325792575, -79.42308386149126 43.66212100625425, -79.42309530438108 43.66214914839888, -79.42324814200917 43.66252500181184)",0.0007972285535283797,172
105,133.0,Concord Avenue,Hallam Street,Northumberland Street,8.0,0.0,0.0,2000,"LINESTRING (-79.42723484981876 43.66278508417264, -79.42761544487922 43.66368508787483, -79.42828849951795 43.66527659038853, -79.4285050724199 43.66579350441788, -79.42913632885524 43.66730009585045, -79.4293126178929 43.66772083268429)",1.0,172
107,135.0,Delaware Avenue,Hallam Street,Northumberland Street,7.0,0.0,0.0,2000,"LINESTRING (-79.42842850106577 43.66251633267716, -79.42877129518732 43.663326475661556, -79.42931340308753 43.66460761588514, -79.43000295635537 43.666290166729596, -79.43032279694809 43.667038357311085, -79.4305048983986 43.667464331397724)",1.0,172
130,160.0,Lappin Avenue,Emerson Avenue,Dufferin Street,7.0,0.0,0.0,2000,"LINESTRING (-79.43816475760178 43.66644330332721, -79.43871400865027 43.66633301491304, -79.44342635685442 43.665386642560335)",0.00466023002692786,172
152,187.0,Bartlett Avenue,Bloor Street West,Hallam Street,9.0,0.0,0.0,2001,"LINESTRING (-79.43289615890741 43.66040690496324, -79.43306776650729 43.660827680375874, -79.43319236683719 43.66113319082653, -79.43357142280277 43.66206255189589, -79.43357909483318 43.66208135824464, -79.4341772640876 43.66353308560673, -79.43451249677835 43.66437109209998, -79.4350276350771 43.665580578516845, -79.4353785704417 43.666412746477704)",1.0,172
167,204.0,Gladstone Avenue,Bloor Street West,Hallam Street,4.0,0.0,0.0,2001,"LINESTRING (-79.43409238901738 43.660160216167654, -79.43426323155286 43.660558217296234, -79.43476725616388 43.66173247395358, -79.43523488729308 43.66281303906392, -79.43543067566775 43.663265430495926, -79.43560387211808 43.663665622598465, -79.43577529253558 43.664061693312746, -79.4361784143367 43.66499308534335, -79.43666651455536 43.66612081666806)",1.0,172
228,460.0,Gladstone Avenue,Dufferin Park Avenue,Bloor Street West,5.0,0.0,0.0,2003,"LINESTRING (-79.43279484771935 43.65746733102136, -79.43282508215978 43.657559892111685, -79.4332924791545 43.65884694173736, -79.43381468078123 43.6602010541684)",0.003473579403247823,172
231,471.0,Salem Avenue,Bloor Street West,Dupont Street,11.0,0.0,0.0,2003,"MULTILINESTRING ((-79.43165170863116 43.660676159035276, -79.43182688984376 43.66110084800469, -79.43231106708004 43.66227453698889, -79.43294421773044 43.66380221258834, -79.43329881403776 43.66461563703392), (-79.43378687187126 43.66585499320033, -79.43413158590704 43.66668015566675, -79.43478572647425 43.6682617801165, -79.43518229882648 43.669218926726444))",1.0,172
238,519.0,Grace Street,Bloor Street West,Harbord Street,5.0,0.0,0.0,2002,"LINESTRING (-79.41869810599786 43.66310857666587, -79.41885002611464 43.66348818683878)",0.02446628661764948,172
259,608.0,Yarmouth Road,Shaw Street,Christie Street,0.0,1.0,0.0,1998,"LINESTRING (-79.42091303098738 43.670027279828865, -79.42146638563311 43.66991715818524, -79.42238951185551 43.66973344204684, -79.42292076089842 43.66962129757596, -79.42347298626193 43.66950332618088, -79.42533652104022 43.66911510373736)",0.9946119071319939,172
273,712.0,Westmoreland Avenue,Bloor Avenue West,Dupont Street,13.0,0.0,0.0,2003,"LINESTRING (-79.43040020533394 43.6609600872179, -79.4305724250408 43.66137245601289, -79.43083715648496 43.66200633124391, -79.43170028355074 43.66406894390767, -79.43204527077961 43.6648988256865, -79.43255995738932 43.66611916664858, -79.4329064766323 43.666948724425, -79.43348455969405 43.668391724258534, -79.43392785069483 43.66948439453655)",1.0,172
278,725.0,Bartlett Avenue,Hallam Street,Dupont Street,3.0,0.0,0.0,2001,"LINESTRING (-79.4353785704417 43.666412746477704, -79.43621879621699 43.66845846109356, -79.4362537373255 43.66854354918025, -79.43643277520971 43.66897943024672)",1.0,172
407,1047.0,Hallam Street,Dufferin Street,Dovercourt Road,5.0,0.0,0.0,2006,"LINESTRING (-79.43169862941772 43.66719554713285, -79.4329064766323 43.666948724425, -79.43413158590704 43.66668015566675, -79.4353785704417 43.666412746477704, -79.43666651455536 43.66612081666806, -79.43725025282268 43.66600068828548, -79.43790386786678 43.665866177858966)",1.0,172
461,1230.0,Carling Avenue,Bloor Street West,Leeds Street,3.0,0.0,0.0,2008,"LINESTRING (-79.4246248861413 43.66221359694015, -79.42478773087059 43.662631652709955, -79.42487653943266 43.66285967707297, -79.42518962238942 43.66366073256435, -79.42544063949302 43.66433683977266)",1.0,172
472,1257.0,Shaw Street,Dupont Street,Bloor Street West,9.0,0.0,0.0,2008,"LINESTRING (-79.42324814200917 43.66252500181184, -79.42343779351461 43.66294726483735, -79.42352898669803 43.66315031910198, -79.42383500857437 43.66396607439969, -79.42385714791745 43.66401443374827, -79.4241351509681 43.66462179235249, -79.42443982411875 43.66539482147281, -79.42485320989785 43.666416389071706, -79.42514506125373 43.66706796514196, -79.42524108343719 43.66734916675888, -79.42527183503667 43.66742213519327, -79.42542082925904 43.66777565667731, -79.42558512351175 43.66818882375527, -79.42570889473527 43.668461529134106, -79.4259119944954 43.668995207725004, -79.4259976012912 43.66915681875387, -79.42626428312629 43.66985455963168, -79.42659159098842 43.670610669391266)",1.0,172
602,1594.0,Shanley St,Dufferin St,Dovercourt Rd,5.0,0.0,0.0,1998,"LINESTRING (-79.43665775409123 43.66298205133384, -79.43543067204176 43.66326543106133, -79.43417725973406 43.66353308412769, -79.43294421875716 43.663802211489205, -79.43170028298346 43.66406894272451, -79.43113356943414 43.66418978370425, -79.4304966077268 43.66432560303108)",1.0,172
706,1766.0,Crawford St,Harbord St,Bloor St W,4.0,0.0,0.0,1998,"LINESTRING (-79.42203953478344 43.66279340897962, -79.42188676762564 43.662414183456725, -79.42184951545501 43.66232172254896, -79.42065817622876 43.65929552802357)",0.0028175379006332634,172
739,1829.0,Pendrith Street,Shaw Street,Christie Street,5.0,0.0,0.0,2019,"LINESTRING (-79.4246775396659 43.66641885707789, -79.41970448727598 43.667449487961)",0.9530316225606875,172
816,2104.0,Millicent St,Emerson Ave,Dufferin St,6.0,,,2022,"LINESTRING (-79.44308064108556 43.66451779792667, -79.43781086155336 43.66556872640814)",3.4177024126117745e-05,172
817,2102.0,Wallace Ave,Lansdowne Ave,Dufferin St,7.0,,,2022,"LINESTRING (-79.4444198617743 43.662367682044355, -79.4370626462673 43.66386808171634)",6.895114503410144e-05,172
5,7.0,Barton Avenue,Christie Street,Bathurst Street,6.0,0.0,0.0,1998,"MULTILINESTRING ((-79.41960401523492 43.66658816736847, -79.42021337646081 43.66644875260628), (-79.4123639167301 43.66812852691935, -79.41298097217211 43.6679958395502, -79.41357110569972 43.667868952008504, -79.41412053402442 43.66775082491701, -79.41415316574242 43.66774381325038, -79.41417937344517 43.667738180118555, -79.41476345172337 43.667612607035544, -79.41534961196855 43.667486537586136, -79.41597238024806 43.66735259862595, -79.41654848859218 43.667229841269716, -79.41657619151533 43.66722393116393, -79.41717920180275 43.66709543849845, -79.41777874295994 43.66696292389093, -79.41781267654856 43.666955424971015, -79.41838838684733 43.66682816883769, -79.4190011270687 43.66670719337972))",0.9187841410238681,95
6,8.0,Barton Avenue,Albany Avenue,Brunswick Avenue,2.0,0.0,0.0,1999,"MULTILINESTRING ((-79.40976259876531 43.66851320257219, -79.41107945222744 43.66825226198582), (-79.40862412500599 43.66892014290394, -79.40981075988704 43.668664184420905))",1.0,95
9,11.0,Brunswick Avenue,Bloor Street West,Wells Street,7.0,0.0,0.0,1999,"LINESTRING (-79.40745361791164 43.665929379530176, -79.40828366537367 43.66805142030151, -79.40862412500599 43.66892014290394)",1.0,95
19,21.0,Euclid Avenue,Bloor Street West,Harbord Street,3.0,0.0,0.0,1999,"LINESTRING (-79.41341611509517 43.660776191253966, -79.41387455689053 43.66194559410177, -79.41409014267694 43.66245859615297, -79.4143636244623 43.66310935996871, -79.41468007529308 43.66390770853785, -79.4148040847988 43.6642205688158, -79.41483828086703 43.66435539102302)",0.0027442745148426933,95
41,43.0,Palmerston Boulevard,Bloor Street West,College Street,14.0,0.0,0.0,1999,"LINESTRING (-79.41014116918986 43.65598605799791, -79.41081488175874 43.65765293814212, -79.41148860494448 43.65933537290352, -79.41219585814959 43.66103067637695, -79.4126443241127 43.66218434167861, -79.41311955593041 43.66335837431108, -79.41362976413122 43.66463203266203)",0.0011291258735283266,95
113,141.0,Roxborough Street West,Avenue Road,Yonge Street,10.0,0.0,0.0,2002,"MULTILINESTRING ((-79.3941206620733 43.6774009917284, -79.39569174158252 43.677047745770224, -79.39740369826654 43.676706267212595), (-79.39002165608142 43.67822464082698, -79.39052749697709 43.67812412973657))",0.993500762603037,95
249,532.0,Macpherson Avenue,Avenue Road,Yonge Street,10.0,0.0,0.0,2002,"LINESTRING (-79.39041218554905 43.67916115532918, -79.39091373776125 43.67905148820211, -79.39252144346139 43.67869992698617, -79.39447647655119 43.67829378603947, -79.39688756142357 43.677792856792436, -79.39714312426756 43.677739760103144, -79.39756918617849 43.67765123607041, -79.39774987655773 43.67761090966098)",0.9966843800781847,95
259,608.0,Yarmouth Road,Shaw Street,Christie Street,0.0,1.0,0.0,1998,"LINESTRING (-79.42091303098738 43.670027279828865, -79.42146638563311 43.66991715818524, -79.42238951185551 43.66973344204684, -79.42292076089842 43.66962129757596, -79.42347298626193 43.66950332618088, -79.42533652104022 43.66911510373736)",0.005388092868006107,95
615,1626.0,Marlborough Place,Macpherson Avenue,Marlborough Avenue,4.0,0.0,0.0,2015,"LINESTRING (-79.39566215743594 43.67883345062972, -79.39570216793072 43.67881566204038, -79.39743521311739 43.67805494965137, -79.39752546677813 43.67802682582725, -79.39760343460944 43.67798953480963, -79.39763590750643 43.67795798992816, -79.39765260495842 43.677927214381214, -79.39765602320816 43.677920896503615, -79.39764619004848 43.677830701310604, -79.39761084792168 43.677716378209425, -79.39756918617849 43.67765123607041)",1.0,95
616,1627.0,Marlborough Avenue,Marlborough Place,Yonge Street,3.0,0.0,0.0,2015,"LINESTRING (-79.39070774080355 43.67991491133364, -79.39086771647857 43.67991855859759, -79.39131604329017 43.67982226777478, -79.39158661208195 43.67976383026057, -79.39165283175487 43.67974952716308, -79.39300186135021 43.67945816694979, -79.39456321845331 43.67912428457384, -79.39495213287724 43.67904111027542, -79.39526986405839 43.67898069694983, -79.39537057140234 43.678953757012955, -79.3954458106093 43.678929115726454, -79.3955498590445 43.67888338628731, -79.39566215743594 43.67883345062972)",0.9948788858062538,95
670,1705.0,Albany Ave,Wells St,Dupont St,5.0,0.0,0.0,1998,"LINESTRING (-79.41338483107853 43.673379668311554, -79.4125315144851 43.67119329167487, -79.41234512560862 43.670713905698406, -79.4122046872786 43.670352688983)",1.0,95
739,1829.0,Pendrith Street,Shaw Street,Christie Street,5.0,0.0,0.0,2019,"LINESTRING (-79.4246775396659 43.66641885707789, -79.41970448727598 43.667449487961)",0.04696837743931244,95
756,1856.0,Brunswick Avenue,Dupont Street,Wells Street,5.0,0.0,0.0,2019,"LINESTRING (-79.41030906083436 43.67403799056148, -79.40947000989253 43.6719899800846, -79.40922475300158 43.67178386222484, -79.4089840187108 43.671087006991655)",1.0,95
7,9.0,Boon Avenue,St. Clair Avenue West,Morrison Avenue,9.0,0.0,0.0,1998,"MULTILINESTRING ((-79.44620297116388 43.67728138641919, -79.44636215945847 43.677664263547356, -79.44636595588285 43.67767339111321), (-79.44693230104285 43.67903549500161, -79.44710946593909 43.67946153697396, -79.44727209236733 43.67986788766755, -79.44747481555488 43.68037443821777, -79.44783529811211 43.681233968758725, -79.44801264413465 43.68165683325765, -79.44817574573746 43.68205819179377, -79.4486904730703 43.68332485502888, -79.44885709544893 43.683734850019185))",1.0,92
15,17.0,Earlscourt Avenue,St. Clair Av W,Morrison Av,7.0,0.0,0.0,1998,"MULTILINESTRING ((-79.44741109682323 43.677022628544066, -79.44756828970044 43.67739800364377), (-79.44814181248786 43.678767537300644, -79.44831847251636 43.67918940174741, -79.44847897814071 43.67958734829983, -79.44903497846224 43.68096586828506, -79.44920938235164 43.6813982622343, -79.44937131395898 43.68179282325244, -79.44989229489416 43.68306228515803, -79.45006373784243 43.68348002413054))",1.0,92
25,27.0,Harvie Avenue,St. Clair Avenue West,Morrison  Avenue,9.0,0.0,0.0,1998,"LINESTRING (-79.44980794779384 43.67648311183664, -79.44996544564054 43.67686597010445, -79.4500394088524 43.67704574619081, -79.4505289634243 43.678235752495056, -79.45067102253016 43.67858107910562, -79.45070836226334 43.67867183163348, -79.45086655810172 43.6790641611383, -79.45141854940914 43.68043312522822, -79.45159417815228 43.68086867455974, -79.45161612999276 43.68092156387575, -79.4517551334848 43.68125640304491, -79.4522822801875 43.68252621683395, -79.45242306640579 43.6828653471097, -79.45245481065055 43.68294181505317)",1.0,92
35,37.0,McRoberts Avenue,St. Clair Avenue West,Rogers Road,12.0,0.0,0.0,1999,"LINESTRING (-79.45348513356807 43.6756646937594, -79.45366290867013 43.67608580894457, -79.45430910380523 43.677616448159846, -79.4545035667521 43.678077080741694, -79.45467929338147 43.678501696050986, -79.45517677819903 43.67970382773184, -79.45545822942555 43.68036444093564, -79.45567331207063 43.68086927112146, -79.45586949901248 43.68132974436081, -79.45602365326049 43.68169787244633, -79.45632510415754 43.682417756219735, -79.45660686663882 43.68312286800293)",0.9044851388726214,92
38,40.0,Nairn Avenue,St. Clair Avenue West,Morrison Avenue,9.0,0.0,0.0,1998,"LINESTRING (-79.4486161091903 43.67674899512385, -79.44877307242008 43.67712440149088, -79.44934706861639 43.678497240060665, -79.4495276700566 43.67892918651582, -79.44954743686209 43.679013380343505, -79.44967789088115 43.67933514951445, -79.45023242835471 43.68070303727962, -79.4504100667224 43.681141181765796, -79.45057047361001 43.68153066923364, -79.45108939296328 43.68279049962507, -79.45126229332277 43.68321023743728)",1.0,92
80,83.0,Appleton Avenue,St. Clair Avenue West,Glenhurst Avenue,2.0,0.0,0.0,2006,"LINESTRING (-79.437540381886 43.679194769200066, -79.43776220754025 43.679771378539414, -79.438439985931 43.68147939306662)",0.24749468579990871,92
102,130.0,Bristol Avenue,Geary Avenue,Davenport Road,5.0,0.0,0.0,2000,"LINESTRING (-79.43802355261623 43.66973574320961, -79.43821868848005 43.67021685210802, -79.43878804848266 43.67162052015173, -79.43909409483683 43.67235290247898, -79.43933470116073 43.67292869432924, -79.43950556601513 43.67333758194724)",0.0020876856411640938,92
137,167.0,Salem Avenue North,Geary Avenue,Davenport Road,5.0,0.0,0.0,2000,"LINESTRING (-79.4355841656171 43.670247824760004, -79.43646325501187 43.6723439860151, -79.43694767743531 43.67355560838588, -79.43712109644449 43.67398933130774)",0.0031163885495416057,92
142,173.0,Westmoreland Avenue North,Davenport Road,Geary Avenue,6.0,0.0,0.0,2000,"LINESTRING (-79.43453295649032 43.67086352443279, -79.43507621856851 43.67219766701938, -79.43572654629433 43.67372953073949, -79.43590812683227 43.67415722644701)",0.0037059391048646475,92
146,178.0,Northcliffe Boulevard,St. Clair Avenue West,Cloverlawn Avenue,4.0,0.0,0.0,2000,"LINESTRING (-79.4408364310433 43.67845057761687, -79.44084688036698 43.678573641965016, -79.44103291055683 43.67906959479869, -79.4421467933223 43.68176331496424)",0.1816675822415791,92
148,181.0,Westmount Avenue,St. Clair Avenue West,Cloverlawn Avenue,4.0,0.0,0.0,2000,"LINESTRING (-79.44195484127266 43.67819980210372, -79.44207884284698 43.67857373290511, -79.44208864841686 43.67860328240235, -79.44216336082128 43.678828579654024, -79.44268871386305 43.6801308637245, -79.44326704950953 43.6815253915823)",0.18386252927194577,92
149,183.0,Glenholme Avenue,St. Clair Avenue West,Rogers Road,7.0,0.0,0.0,2000,"LINESTRING (-79.43857869927689 43.67896139934938, -79.43883781750581 43.679538335837435, -79.43987752199851 43.682051805506376, -79.44028603976595 43.683089230458414, -79.44039171875524 43.68331016103692, -79.44102178112885 43.68483739376677, -79.44121126812213 43.685267151005846, -79.44136106785767 43.685666203701196, -79.44136445732344 43.68578599322577, -79.4413608412686 43.68590321116471, -79.44159952242508 43.686523117077535)",0.07564373921389847,92
177,216.0,MacKay Avenue,Greenlaw Avenue,Dufferin Street,6.0,0.0,0.0,2003,"LINESTRING (-79.44274445277846 43.677150056597576, -79.44349394162515 43.67698451417291, -79.44530976813951 43.67658344078727, -79.446738150444 43.67627074375914, -79.44777595002968 43.67604353178854)",1.0,92
206,282.0,Norton Avenue,St. Clair Gardens,Dufferin Street,2.0,0.0,0.0,2003,"MULTILINESTRING ((-79.44335903367153 43.67876800697957, -79.44404699919424 43.67861966726118, -79.44482580463236 43.67845173289345, -79.44538671863451 43.67833075763445), (-79.41361824005135 43.77227380933529, -79.41312463715614 43.77237191581752, -79.41293599123591 43.77240941793102, -79.41275796904381 43.772437496208006, -79.41256083902623 43.77245186621869, -79.41229694227259 43.77246086075517, -79.41201946690357 43.772475887683164), (-79.40912748502464 43.77294754449319, -79.40655314174 43.77352705440775, -79.40392084011768 43.77410633625571, -79.40129807669207 43.774700213801914, -79.40096319101576 43.77476718213936, -79.40052871752815 43.77486014566702, -79.40010000538392 43.77494341906512, -79.3998967156662 43.77498195518826))",0.15817267116490263,92
207,285.0,Westmount Avenue,Regal Road,St. Clair Avenue West,5.0,0.0,0.0,2004,"LINESTRING (-79.44032515559036 43.674266114657414, -79.44131976324418 43.676610521337615, -79.4417959261199 43.67780212013599, -79.44195484127266 43.67819980210372)",1.0,92
213,369.0,Crang Avenue,St. Clair Avenue West,Glenhurst Avenue,2.0,0.0,0.0,2001,"LINESTRING (-79.43657051822244 43.679414497281144, -79.43673678973325 43.679836831701586, -79.43679196951955 43.67997699417723, -79.43747856778896 43.68167928234607)",0.24353996875041511,92
218,394.0,Lauder Avenue,St. Clair Avenue West,Millerson Avenue,4.0,0.0,0.0,2003,"LINESTRING (-79.43973521616833 43.67870717726681, -79.43975935293116 43.67886305878354, -79.43993902557249 43.679299986794966, -79.4405391765685 43.68078789096728, -79.44104330234633 43.68199401868021, -79.44149634797137 43.683067666048395)",0.1324926262680578,92
245,528.0,Rosemount Avenue,Dufferin Street,Oakwood Avenue,6.0,0.0,0.0,2001,"LINESTRING (-79.43524573284064 43.678004157542446, -79.4353774938208 43.678000252210005, -79.43554749029974 43.67800105674564, -79.43575091193209 43.6779753965385, -79.4360570858237 43.67793548366424, -79.43618279585135 43.67792094201049, -79.43634630390417 43.677882552478934, -79.43713998000922 43.67772811868468, -79.43745317552921 43.67763405827626, -79.43770390642175 43.677583631989656, -79.43780386281725 43.67755086381203, -79.43791676953457 43.67750568496281, -79.43799995055521 43.67746824847559, -79.43811038603872 43.677409277643726, -79.4382254308512 43.67733375738567, -79.43834869829085 43.677277932902626, -79.43846283960129 43.677239649388056, -79.43856659434817 43.67721201964556, -79.43906921516232 43.67710546894028, -79.44018107117046 43.676861356189264, -79.44131976324418 43.676610521337615, -79.4418613233975 43.676481060885195, -79.44239953600298 43.67635239862673)",0.9966451854381962,92
281,734.0,Northcliffe Boulevard,Rosemount Avenue,St. Clair Avenue West,2.0,0.0,0.0,2003,"LINESTRING (-79.44018107117046 43.676861356189264, -79.44066542050768 43.678035900784636, -79.4408364310433 43.67845057761687)",1.0,92
320,834.0,Gilbert Avenue,Norman Avenue,Rogers Road,7.0,0.0,0.0,2004,"LINESTRING (-79.45705911096071 43.6775109423612, -79.45724036412007 43.67793693394246, -79.45780446374917 43.679262712987956, -79.45824747140213 43.68030082787354, -79.45844227761143 43.68075729839777, -79.4586069323048 43.68114665186076, -79.45890585428117 43.6818535021412, -79.45906138225132 43.68220459116818, -79.45956493243912 43.68343364364038)",0.731860149018299,92
520,1347.0,Earlscourt Avenue,Ascot Avenue,St. Clair Avenue West,2.0,0.0,0.0,2010,"LINESTRING (-79.44756828970044 43.67739800364377, -79.44813593347351 43.67875351939762, -79.44814181248786 43.678767537300644)",1.0,92
541,1406.0,Bartlett Avenue North,First Lane south of Davenport Road,Davenport Road,1.0,0.0,0.0,2011,"LINESTRING (-79.43815504475536 43.67330367279529, -79.43832735611083 43.67372348568618)",0.018571857452922773,92
770,1880.0,Rosemount Ave,Dufferin St,Greenlaw Ave,4.0,0.0,0.0,1998,"LINESTRING (-79.447448226596 43.67523418725289, -79.44495498756633 43.67578401572389, -79.4423995409765 43.67635240076517)",1.0,92
795,2129.0,St Clarens Ave,St Clair Ave W,Davenport Rd,7.0,,,2021,"LINESTRING (-79.44942977538095 43.676565171625064, -79.44749376536382 43.671704703851816)",1.0,92
796,2128.0,St Clair Gdns,Ascot Ave,St Clair Ave W,3.0,,,2021,"LINESTRING (-79.44597274636894 43.67970744377477, -79.4450730977331 43.67751254319848)",1.0,92
8,10.0,Boulton Avenue,Queen Street East,Dundas Street East,2.0,0.0,0.0,1998,"LINESTRING (-79.34691799446571 43.660060342880755, -79.34710015360845 43.66049677800153, -79.34754222263037 43.66158203979465, -79.3479754838775 43.66263128269033, -79.34819957392243 43.663198671945125)",1.0,70
337,885.0,Laing Street,Eastern Avenue,Queen Sreet East,2.0,0.0,0.0,2006,"LINESTRING (-79.32661627274972 43.66222534067216, -79.32685985932214 43.662801502619295, -79.32710317299134 43.663373806316976, -79.3271041955239 43.66337628835985, -79.3271504363823 43.66348829873654, -79.32717107624168 43.66353827549713, -79.32733084584387 43.66392530660813)",0.005824328107901613,70
344,898.0,Caroline Avenue,Queen Street East,Eastern Avenue,3.0,0.0,0.0,2007,"LINESTRING (-79.33416260433602 43.65946900938227, -79.33431368796678 43.65981797982808, -79.33515457716013 43.66176014342809, -79.33531569874638 43.66213225468635)",1.0,70
381,994.0,Dagmar Avenue,Dundas Street East,Jones Avenue,3.0,0.0,0.0,2006,"LINESTRING (-79.336762346433 43.66592842061529, -79.33678100775967 43.66604996620374, -79.336792106286 43.66609948727523, -79.33680593334267 43.66614451905488, -79.33681047104501 43.66618953274923, -79.3368030411364 43.66621202456056, -79.33677814793566 43.666247993336874, -79.33673081899703 43.666270426930915, -79.33649233980498 43.66633310025237, -79.33549089408349 43.66654320012136, -79.3350498081817 43.66663772976374, -79.33451036477149 43.66675332577483)",1.0,70
418,1102.0,Lewis Street,Queen St E,Eastern Av,4.0,0.0,0.0,2006,"LINESTRING (-79.3475405343264 43.65651040231358, -79.34768916282805 43.65687189837779, -79.34843925229069 43.65869608816115, -79.348632725559 43.65916660228223)",1.0,70
419,1104.0,Booth Avenue,Queen St E,Eastern Avenue,3.0,0.0,0.0,2006,"LINESTRING (-79.34247829604399 43.65763891908308, -79.34338202014602 43.65984074370561, -79.34357175275582 43.6603030004564)",1.0,70
426,1130.0,Berkshire Avenue,Queen Street East,Eastern Avenue,3.0,0.0,0.0,2007,"LINESTRING (-79.33214458587528 43.65989388272733, -79.33312906509185 43.6622193468859, -79.33328531131063 43.66258840057418)",1.0,70
427,1131.0,Winnifred Avenue,Queen Street East,Eastern Avenue,3.0,0.0,0.0,2007,"LINESTRING (-79.3351258371484 43.65926524333567, -79.33527597486751 43.65960643734596, -79.3361314345244 43.66155059779998, -79.3361366751486 43.66156247824532, -79.33629690594277 43.66192662468822)",1.0,70
447,1183.0,Bertmount Avenue,Queen Street East,Dundas Street East,4.0,0.0,0.0,2008,"LINESTRING (-79.3348717348654 43.662248630447316, -79.33574839201816 43.66431571741046, -79.3362072835143 43.66542355179142, -79.33641279401525 43.66594142381697)",1.0,70
448,1184.0,Leslie Street,Queen Street East,Gerrard Street East,8.0,0.0,0.0,2007,"LINESTRING (-79.33020544153213 43.66325449310894, -79.33036627262311 43.66362716522362, -79.33088571238383 43.66483074372131, -79.33170571603476 43.66674925191022, -79.33214189862136 43.66778055238661, -79.33246313032903 43.668483133446315, -79.33274653242903 43.669136153438515, -79.33288891714336 43.66946157013435, -79.33304998024354 43.66982970353284)",1.0,70
456,1205.0,Bloomfield Ave,Prust Ave,Greenwood Ave,2.0,0.0,0.0,1998,"LINESTRING (-79.33127654582333 43.672131470121116, -79.32873584489244 43.67270829997714)",0.9910631872393986,70
466,1244.0,Larchmount Av,Queen St E,Eastern Av,5.0,0.0,0.0,2008,"LINESTRING (-79.3331667942246 43.659681440362945, -79.33414290087745 43.66198761344568, -79.33429684487146 43.66235131989771)",1.0,70
470,1252.0,Knox Av,Queen St E,Eastern Av,2.0,0.0,0.0,2009,"LINESTRING (-79.32525142078751 43.662532046094064, -79.32547744742486 43.66309387154729, -79.32548667897261 43.66311559821679, -79.3257293925499 43.66368675250535, -79.32577999985374 43.663803563445924, -79.32596837607484 43.66423830405323)",0.005511394440419158,70
497,1299.0,Heward Avenue,Queen Street East,Eastern Avenue,4.0,0.0,0.0,2009,"LINESTRING (-79.33778527843235 43.65868262106041, -79.33874168448635 43.66098635308803, -79.33889439872112 43.66135420439777)",1.0,70
530,1359.0,Morse Street,Lake Shore Blvd. E.,Eastern Avenue,4.0,0.0,0.0,2015,"LINESTRING (-79.33863698067726 43.65445818823769, -79.33867262233159 43.65454002091137, -79.33872873205335 43.6546688635277, -79.33874677150922 43.65471265078853, -79.33909495066798 43.655557913840724, -79.33998853164563 43.65772712323123, -79.34016503730395 43.658155581945465)",1.0,70
535,1385.0,Hastings Avenue,Queen Street East,Dundas Street East,4.0,0.0,0.0,2013,"LINESTRING (-79.32897906711656 43.66354521249735, -79.32914651974758 43.663919477736314, -79.3298858802003 43.6655718886128, -79.33033792032221 43.66658542889139, -79.33052663434037 43.66700856069196)",1.0,70
